TQAESD,QAESD,TQAESE,QAESE,TQMATH,QMATH,TQBITCNT,QBITCNT,TQCRC,QCRC,TQDIJK,QDIJK,TQFFT,QFFT,TQGSMD,QGSMD,TQMXM,QMXM,TQQSORT,QQSORT,TQSHA,QSHA,TQSSEARCH,QSSEARCH,TQSUSANC,QSUSANC,TQSUSANE,QSUSANE,TQSUSANS,QSUSANS
4963407,0.56506,4637256,0.53492,14447337,0.45769,11207871,0.40654,7075122,0.3238,10483926,0.4467,12317586,0.30198,1475445,0.62253,5447373,0.3685,4092168,0.50273,1647789,0.70219,1170837,0.56262,413325,0.49248,3028545,0.67497,5378235,0.29988
4822125,0.56009,4532046,0.53285,14523489,0.46839,11151759,0.40668,7070613,0.3238,10479417,0.44593,12484419,0.30265,1480455,0.6298,5298576,0.40767,4105695,0.49913,1697889,0.69697,863223,0.52878,265029,0.50531,2448888,0.80142,5409297,0.30065
4957395,0.56201,4626234,0.53546,14599641,0.45906,11135727,0.40697,7075122,0.32381,10390740,0.44651,12317085,0.30185,1474944,0.62782,5373225,0.36982,4063110,0.50076,1750494,0.69204,1091679,0.54403,391782,0.26258,3769023,0.45358,5369718,0.30044
5040561,0.56537,4726935,0.53678,14497938,0.46327,11120196,0.4079,7126725,0.32353,10396251,0.44781,12202857,0.29889,1475946,0.62358,5452383,0.37843,4109202,0.50471,1697889,0.69034,877251,0.5494,499497,0.55794,1822638,0.29085,9590142,0.54331
4903287,0.56413,4670823,0.53303,14691324,0.46069,11091138,0.40745,7114200,0.3226,10467393,0.44842,12399750,0.29754,1473441,0.62122,5254488,0.42619,4099683,0.49662,1649793,0.69687,1040076,0.58051,544086,0.20801,1619232,0.31075,7959888,0.66534
4813608,0.56133,4583148,0.53049,14424792,0.45733,11328111,0.40463,6862698,0.32508,10490940,0.44794,13488423,0.29285,1481958,0.62866,5452884,0.36815,4047579,0.50155,1698390,0.69422,835668,0.53001,1569132,0.24689,956910,0.29193,3045078,0.56123
4907796,0.56385,4644771,0.53389,14510964,0.4676,11394243,0.40362,6865203,0.32497,10569096,0.44866,12322596,0.30451,1475445,0.62525,5373726,0.39665,4136256,0.5002,1747989,0.6905,1024044,0.5763,1846686,0.25709,958914,0.2968,3045078,0.56123
5007996,0.56591,4726434,0.53638,14597136,0.46041,11367189,0.40372,6865203,0.32513,10585128,0.44768,12562575,0.30706,1473942,0.62222,5289558,0.37109,4070124,0.50362,1701897,0.68984,1051098,0.59907,2278047,0.41131,969936,0.29456,4519020,0.41849
4907796,0.56315,4629741,0.53465,14442828,0.46758,11334123,0.40474,6865704,0.325,10498956,0.44753,13875696,0.28162,1481457,0.62979,5495469,0.36884,4066617,0.5031,1644783,0.68929,848193,0.52857,1855704,0.20605,951399,0.29949,5370720,0.26569
4828638,0.55919,4532046,0.53311,14516976,0.45928,11279013,0.40548,6865203,0.32502,10501962,0.44812,12390732,0.30082,1560615,0.56475,5205891,0.4173,4052088,0.50513,1700394,0.68928,1029054,0.59311,1990473,0.40782,960918,0.28885,5330139,0.26597
4954890,0.56229,4627737,0.53511,14754951,0.45315,11345646,0.40489,6865704,0.32496,10478415,0.44736,12381714,0.30188,2466423,0.29415,5333646,0.37032,4021527,0.50402,1748991,0.68695,861219,0.53345,325650,0.36011,953904,0.29455,5369718,0.2649
5034549,0.56618,4726434,0.53671,14341626,0.47089,11295546,0.40488,6865203,0.32488,10553565,0.44719,12290031,0.29928,3019527,0.38764,5250981,0.38965,4057599,0.49905,1698390,0.6856,1045086,0.57018,1715925,0.51869,966930,0.30041,5357193,0.26492
4908297,0.56408,4678338,0.53313,14598138,0.45802,11290035,0.40544,6865203,0.32488,10620198,0.44633,12379209,0.30065,2009010,0.53996,5339658,0.43332,4044072,0.50617,1646286,0.68489,833664,0.5339,1156809,0.84536,959916,0.29529,5089659,0.44485
4813608,0.56125,4586655,0.53052,14611665,0.45727,11223903,0.40618,6865704,0.32487,10437834,0.44775,12462375,0.3013,1775544,0.55398,5449377,0.36862,4066617,0.49784,1696887,0.6817,1038072,0.58732,1050597,0.79798,955407,0.28834,4079142,0.70234
4911303,0.56338,4729440,0.53661,14299542,0.47281,11267991,0.40528,6865203,0.32491,10139739,0.44737,12376203,0.30001,1500495,0.60171,5328636,0.40632,4087158,0.50134,1821135,0.69525,1013022,0.33728,1209915,0.81724,950898,0.29725,3958902,0.70729
5028036,0.56616,4728939,0.53659,14746434,0.45357,11334123,0.40455,6865704,0.32478,10301562,0.44584,12301053,0.30306,1468431,0.62175,5490960,0.36803,4045074,0.4975,1659312,0.69363,870738,0.55539,984465,0.81112,965928,0.29981,3940866,0.71102
4901283,0.56216,4721925,0.53641,14477397,0.46511,11261979,0.40549,6863700,0.32488,10287534,0.44508,12448347,0.3043,1497990,0.61945,5372223,0.37781,4061106,0.49563,1666326,0.69561,1022040,0.57534,1502499,0.4876,971940,0.2962,3941367,0.71347
4930341,0.56181,4721925,0.53611,14435313,0.46129,11290035,0.40544,6865704,0.32478,10278015,0.44718,12222897,0.29876,1605204,0.59142,5337654,0.42427,4027038,0.50204,1762518,0.69311,900297,0.53426,2166825,0.30057,951900,0.29109,3939363,0.7092
4974930,0.56333,4534551,0.5336,14673288,0.45318,11224404,0.40655,6865203,0.32491,10561080,0.44558,12175302,0.29542,1476447,0.62333,5452884,0.36859,4025034,0.50328,1752999,0.69677,1021038,0.57038,737973,0.37325,954906,0.29171,3941367,0.71136
5018016,0.56507,4549581,0.53295,14179803,0.47079,11245446,0.40593,6891255,0.32388,10523004,0.44742,12309069,0.29396,1473942,0.62008,5287554,0.3971,4053090,0.50669,1644282,0.69725,923343,0.50268,1177350,0.24083,957912,0.29701,3940866,0.7142
4946874,0.56466,4764009,0.5349,14796534,0.45353,11251959,0.40608,6865203,0.32496,10445850,0.44725,12321093,0.30343,1480956,0.62801,5423325,0.4396,3968922,0.50216,1644282,0.69408,973443,0.57328,626250,0.28164,970938,0.29407,3939864,0.70947
4812105,0.56088,4774029,0.53355,14645733,0.45677,11190837,0.40674,6865704,0.32494,10526010,0.44716,12389730,0.29799,1476447,0.62541,5413305,0.36872,3988962,0.49779,1747488,0.68809,1022040,0.53406,442884,0.27788,953403,0.29825,3951387,0.71105
4868718,0.563,4538058,0.53377,14551545,0.46399,11195847,0.40664,6865203,0.32498,10462383,0.44568,12327105,0.30265,1473942,0.62176,5294067,0.41475,4068621,0.49481,1747488,0.68515,854205,0.55073,445389,0.2913,960918,0.28825,3953391,0.71297
5007495,0.56605,4536054,0.53352,14919780,0.44873,11157771,0.40729,6865203,0.32497,10492443,0.448,12283518,0.29688,1480455,0.62888,5466912,0.36859,4080144,0.50317,1644282,0.68468,1020537,0.53719,451902,0.29468,950397,0.29489,3942369,0.70823
4956393,0.56405,4722426,0.5362,14261466,0.47197,11267991,0.40527,6865704,0.32498,10427313,0.44944,12353157,0.29911,1476948,0.62646,5331642,0.38674,4118721,0.49789,1648791,0.69491,856710,0.56257,444387,0.2811,1480956,0.27627,3927840,0.71078
4839660,0.5595,4720923,0.5365,14666274,0.4558,11328612,0.40502,6865203,0.32499,10457373,0.44644,12256464,0.2964,1473942,0.62302,5339658,0.43171,4071126,0.50052,1746486,0.70252,1004004,0.53383,466932,0.27457,1186869,0.30383,3939363,0.71022
4930341,0.56379,4535553,0.53381,14539521,0.45586,11268492,0.40515,6862698,0.32508,10526511,0.44824,12364179,0.30324,1479954,0.62995,5453886,0.36861,4095174,0.5029,1748991,0.69893,844686,0.55468,436371,0.28577,1238472,0.31147,3947379,0.71324
5003487,0.56599,4551084,0.53203,14482407,0.46724,11261979,0.40554,6865203,0.32497,10516491,0.44822,12242937,0.29809,1456908,0.59538,5292564,0.40468,4098681,0.50082,1644282,0.69933,1060617,0.53281,455409,0.29345,1315626,0.30426,3946377,0.71442
4952886,0.56436,4782045,0.53344,14425794,0.45858,11207871,0.40617,6865203,0.32513,10447854,0.44849,12233919,0.29843,1653300,0.35251,5414307,0.36932,4021026,0.4979,1643781,0.69673,850197,0.49014,443886,0.2766,1266528,0.30706,3946878,0.70934
4812606,0.56114,4753989,0.53418,14404752,0.46446,11279514,0.40583,6865704,0.325,10335129,0.44836,12397245,0.29536,2231955,0.43533,5373225,0.37669,4082148,0.50207,1752498,0.69816,962922,0.53546,448896,0.28579,1386768,0.2887,3947379,0.71079
4869720,0.56336,4536555,0.53377,14599641,0.45759,11223402,0.40589,6865203,0.32502,10506471,0.44768,12216885,0.30048,1968429,0.55015,5294067,0.4229,4085655,0.49666,1755003,0.69569,965928,0.40578,454407,0.28854,1027551,0.29817,3947379,0.71261
5004489,0.56512,4538559,0.5334,14556054,0.45595,11206869,0.40639,6865704,0.32496,10557072,0.4472,12377205,0.29964,1772037,0.54753,5451381,0.3686,4066116,0.49667,1645284,0.69633,863724,0.51842,439377,0.29016,1043583,0.30485,3947880,0.71421
4951884,0.56432,4720923,0.53647,14317578,0.46986,11179815,0.40647,6865203,0.32488,10493445,0.44781,12097146,0.29583,1482960,0.6017,5291562,0.3952,4046076,0.49784,1646787,0.69237,1061118,0.35502,467934,0.28453,1150296,0.29589,3942870,0.70921
4859700,0.55825,4720923,0.53663,14489922,0.4591,11135727,0.40682,6884241,0.32403,10451361,0.44912,12268989,0.30099,1470936,0.62352,5423826,0.43827,4015014,0.49826,1751997,0.68983,854205,0.52955,440379,0.2811,876249,0.288,3940866,0.71211
4963407,0.56382,4535553,0.53377,14591625,0.45688,11268492,0.40593,6865203,0.32491,10454367,0.4484,12321093,0.29877,1498491,0.62078,5419818,0.3691,4024533,0.50183,1751997,0.69261,1067631,0.5427,448896,0.29177,825648,0.28634,3946377,0.71383
5000481,0.56628,4554090,0.53196,14319582,0.46962,11223402,0.40613,6865704,0.32478,10503465,0.44813,12347646,0.30276,1509012,0.61087,5293566,0.41358,4045575,0.50277,1644783,0.69353,852201,0.53943,450399,0.27808,775047,0.29029,3950886,0.70873
4902285,0.56339,4789560,0.53532,14359662,0.45692,11207871,0.40642,6863700,0.32488,10553565,0.4451,12260472,0.30135,1474944,0.62603,5459898,0.36849,4005495,0.50159,1645284,0.6909,1008513,0.53181,444888,0.28229,806610,0.28467,3953391,0.71071
4813107,0.56065,4742967,0.53428,14345634,0.47045,11179815,0.40627,6865704,0.32478,10336632,0.44693,12272496,0.3008,1474944,0.62345,5332644,0.38494,4078641,0.5025,1747989,0.68655,790578,0.53962,456411,0.28294,806109,0.28841,4002489,0.70579
4922325,0.56454,4539561,0.53365,14508459,0.45708,11140737,0.40688,6865203,0.32491,10427814,0.44635,12467886,0.2994,1482459,0.6299,5338656,0.42996,3997479,0.50593,1751997,0.68825,1004004,0.53677,442383,0.2856,782061,0.29252,3946878,0.70814
5001984,0.56569,4538058,0.53328,14529000,0.45699,11201859,0.40648,6864201,0.32494,10439337,0.44813,12276003,0.29925,1473942,0.6277,5456892,0.3687,3984954,0.49876,1645284,0.68943,851700,0.51274,459918,0.28104,825147,0.28594,3947880,0.71003
4913808,0.56167,4718418,0.53606,14497437,0.46451,11163783,0.40661,6865704,0.32488,10542042,0.4473,12287526,0.29681,1474944,0.62474,5294067,0.40349,4008501,0.49826,1645785,0.68768,1025547,0.5814,444888,0.27663,781059,0.29012,3940866,0.71347
4863708,0.55969,4726935,0.53659,14405253,0.45951,11129715,0.40739,6865203,0.32496,10423305,0.44755,12222897,0.29771,1475445,0.62088,5412303,0.36895,4020024,0.49664,1749492,0.68313,810618,0.53941,444888,0.29215,797091,0.29184,3939864,0.70877
4953387,0.56409,4537056,0.53382,14429802,0.45834,11124705,0.40712,6865704,0.32494,10565088,0.44717,12225903,0.29916,1480956,0.6286,5418816,0.37431,4104693,0.49914,1755504,0.68018,1040076,0.57588,452403,0.29483,806610,0.27093,3940365,0.71138
4997475,0.56646,4617717,0.53069,14331606,0.46912,11097651,0.40778,6865203,0.32498,10470900,0.44804,12350652,0.29791,1474443,0.62621,5288055,0.42073,4082148,0.49952,1664823,0.70092,916830,0.50746,444387,0.28174,969936,0.2932,3941868,0.71374
4899780,0.5627,4824630,0.53516,14325093,0.45864,11228412,0.40645,6865203,0.32497,10444848,0.44913,12494439,0.29916,1475946,0.62147,5414307,0.36913,4072629,0.49732,1708911,0.69054,970437,0.53381,466431,0.2764,966930,0.30057,3939363,0.70941
4813107,0.56143,4651284,0.53392,14108661,0.47401,11329614,0.40467,6865704,0.32498,10491942,0.44768,12473397,0.30031,1468932,0.59986,5297574,0.39406,4080645,0.50137,1762017,0.68597,906309,0.43411,435369,0.28667,964425,0.29391,3949383,0.71096
4921323,0.56461,4633248,0.53501,15443826,0.46253,11267991,0.40513,6865203,0.32499,10554066,0.44729,12229911,0.30526,1476948,0.38387,5422323,0.43683,4090164,0.49599,1720935,0.6913,856209,0.52622,456411,0.2943,950898,0.28975,3945375,0.71295
5002485,0.56541,4723929,0.53631,14497938,0.4583,11256969,0.40533,6862698,0.32508,10519998,0.44732,12449850,0.30603,1973439,0.44119,5412804,0.36912,4023531,0.50911,1644282,0.70079,1018032,0.42679,443886,0.27661,950898,0.29697,3919824,0.71015
5018517,0.56433,4631244,0.53481,14282508,0.4691,11223903,0.40608,6879732,0.32424,10465389,0.44987,12646743,0.30317,1948389,0.55457,5295570,0.41152,4068120,0.49586,1695885,0.69597,848694,0.54407,448896,0.28751,965928,0.29964,3941868,0.70999
4860201,0.56003,4532547,0.53349,14339622,0.4583,11267991,0.40559,6865704,0.325,10326111,0.44646,12494940,0.29138,1775043,0.55066,5452383,0.36827,4078140,0.50216,1747989,0.6914,1061619,0.59701,452904,0.28998,971439,0.29617,3951888,0.71147
4888758,0.56235,4633248,0.53502,14223891,0.47169,11228913,0.40588,6865203,0.32502,10265991,0.44558,12432816,0.29954,1488972,0.60577,5334147,0.3835,4065615,0.50088,1695885,0.68988,959916,0.42408,440880,0.28552,951900,0.2914,3953391,0.71343
4997976,0.56627,4773528,0.53454,14318079,0.45908,11201859,0.40607,6865704,0.32496,10397754,0.44383,12176805,0.30181,1469433,0.62624,5338656,0.42864,4038561,0.50145,1644282,0.68825,875247,0.53524,465429,0.28606,956409,0.29096,3945876,0.70853
4959900,0.5651,4684851,0.53132,14320584,0.46149,11185827,0.40642,6865203,0.32488,10232925,0.44814,12318087,0.29929,1604703,0.61072,5456391,0.36833,4049583,0.50181,1644282,0.68511,1081158,0.38698,443385,0.27944,956409,0.29673,3947379,0.70992
4913808,0.55627,5226432,0.50477,14273991,0.46997,11146749,0.40698,6865203,0.32488,10245450,0.44756,12428307,0.30161,1657809,0.58144,5294568,0.40159,4064112,0.50285,1648791,0.68685,854706,0.54116,448395,0.29369,970938,0.29296,3947880,0.71174
5501481,0.53953,4645272,0.52799,14283510,0.45727,11250957,0.40559,6865704,0.32487,10325610,0.44763,12232917,0.29926,1480455,0.62893,5412303,0.36882,4105695,0.4992,1734462,0.67101,1016529,0.53263,448896,0.27949,955407,0.29744,3950385,0.71334
4816614,0.5611,4542567,0.5333,14161266,0.47227,11234925,0.40603,6865203,0.32491,10232925,0.44652,12628206,0.29873,1474944,0.62636,5419317,0.37298,4089162,0.49462,1644783,0.68616,840678,0.48824,443886,0.28471,958914,0.28855,3948381,0.71317
4816113,0.5616,4536555,0.53336,14376696,0.45829,11201859,0.40641,6865704,0.32478,10328616,0.44605,12301053,0.30644,1475946,0.62213,5296071,0.41936,4037559,0.5011,1642278,0.68289,963924,0.52663,459417,0.28265,952401,0.2937,3945375,0.70962
4813608,0.56138,4533549,0.5331,14375193,0.45634,11179815,0.40628,6863700,0.32488,10308075,0.44625,12419790,0.29997,1480455,0.6298,5455890,0.36885,4060605,0.4997,1646286,0.70401,1006008,0.42657,434367,0.29252,965427,0.3003,3947880,0.71139
4834650,0.55933,4532046,0.533,14198841,0.47206,11152761,0.40725,6865704,0.32478,10246452,0.44742,12252957,0.29584,1474944,0.62765,5330139,0.39063,4047078,0.498,1641777,0.70457,866730,0.52565,467934,0.27776,967932,0.29244,3940866,0.7143
4876734,0.55943,4534551,0.53362,14318079,0.45892,11190837,0.40643,6865203,0.32491,10490940,0.44807,12378708,0.30205,1475445,0.62379,5342664,0.43574,4063110,0.50061,1643280,0.7008,1011018,0.34557,443385,0.27887,949395,0.29224,3947880,0.70939
4822626,0.5606,4546575,0.53338,14374692,0.45913,11168793,0.40678,6864201,0.32494,10552563,0.44895,12395241,0.29881,1473942,0.62077,5412303,0.36924,4091166,0.49981,1642278,0.69798,840177,0.52767,446391,0.29116,956910,0.29357,3951387,0.71138
4808598,0.56149,4579140,0.53107,14083611,0.46891,11124705,0.40723,6865704,0.32488,10604667,0.44645,12143739,0.30369,1481457,0.62733,5297073,0.41012,4089162,0.49859,1641777,0.69524,1014525,0.54635,451902,0.28519,958413,0.29843,3949884,0.71361
4812606,0.56054,4586154,0.53043,14169783,0.45797,11135727,0.40708,6880233,0.32421,10483926,0.4491,12392235,0.30453,1475946,0.62438,5454387,0.36863,4075134,0.50106,1647789,0.70071,834666,0.52761,681861,0.21982,973944,0.29376,3948882,0.70736
4819119,0.56135,4538058,0.53369,14348139,0.45418,11096649,0.40807,6865203,0.32498,10448856,0.44749,12284520,0.30092,1472940,0.60724,5329137,0.3817,4064613,0.50412,1644282,0.69734,1014024,0.54886,623745,0.28616,1271538,0.17739,3948882,0.71038
4814610,0.56117,4536555,0.53347,14075094,0.46761,11168793,0.40665,6865203,0.32497,10421802,0.44833,12503457,0.30059,1370235,0.39803,5337153,0.42675,4015515,0.50192,1643781,0.69443,847191,0.55244,587172,0.27884,1877247,0.41113,3946878,0.71275
4814109,0.56096,4532547,0.5332,14174292,0.46234,11251959,0.40562,6865704,0.32498,10401261,0.44613,12456363,0.29974,2912814,0.40035,5450880,0.36841,4002489,0.50248,1644282,0.69136,1064625,0.54459,620238,0.25869,5220921,0.07139,3939864,0.70856
4850181,0.55803,4532547,0.53313,14298540,0.454,11184825,0.40694,6865203,0.32499,10619196,0.44665,12330111,0.30077,1950393,0.56078,5291562,0.40005,3976437,0.50544,1649292,0.69679,779556,0.53779,428355,0.29281,5357193,0.07136,3940866,0.7112
4871223,0.56109,4535052,0.53392,14245935,0.45549,11223903,0.40634,6862698,0.32508,10495950,0.44682,12303057,0.30215,1809612,0.56336,5418816,0.36914,4032048,0.49675,1642779,0.69504,1071138,0.54026,635268,0.2817,5354688,0.07142,3941367,0.71363
4811604,0.56177,4552086,0.53224,14099643,0.47045,11152761,0.40669,6865203,0.32497,10538535,0.4485,12280512,0.30077,1475445,0.59556,5417814,0.37152,4048581,0.50585,1642779,0.69298,823143,0.54546,584166,0.30332,5359698,0.0714,3947880,0.70836
4809099,0.56138,4583649,0.53106,14169783,0.45937,11168793,0.40694,6865203,0.32513,10417293,0.44821,12244440,0.29758,1475946,0.63054,5288556,0.41782,4069623,0.49857,1642779,0.69078,1030557,0.58332,629256,0.30528,5353686,0.0714,3933351,0.71042
4812606,0.5609,4575132,0.53129,14318079,0.4533,11179815,0.40648,6865704,0.325,10486431,0.44834,12508968,0.29757,1489473,0.61581,5459397,0.36842,4095174,0.49891,1644282,0.68744,1064625,0.42298,580659,0.30075,3402792,0.41872,3930345,0.71097
4818618,0.56176,4536555,0.53389,14329602,0.45557,11129715,0.40724,6865203,0.32502,10522002,0.448,12312576,0.2991,1509513,0.60441,5329137,0.3893,4068621,0.50453,1646286,0.69023,824646,0.5473,625248,0.30524,370740,0.84826,3950385,0.71418
4815612,0.56061,4538559,0.53326,13939824,0.46931,11152761,0.40743,6865704,0.32496,10416291,0.44752,12306063,0.30093,1473942,0.62032,5343165,0.43472,4085655,0.49432,1644282,0.68868,1014024,0.53895,532563,0.30291,327654,0.86468,3939864,0.70956
4814109,0.5614,4532046,0.53338,14334612,0.46013,11096649,0.40734,6865203,0.32488,10220901,0.4479,12179310,0.30362,1480956,0.62819,5198376,0.37268,4030545,0.49944,1643280,0.68674,873744,0.5493,624747,0.29994,326151,0.87558,3947880,0.71149
4865211,0.56007,4533048,0.53325,14294031,0.45466,11091639,0.408,6865203,0.32488,10278015,0.44733,12250452,0.29944,1476447,0.62478,5332143,0.4086,4021026,0.50157,1644783,0.68442,1002000,0.58163,625248,0.30531,318636,0.86714,3943371,0.71377
4856193,0.56057,4534551,0.53366,14408259,0.45226,11196348,0.40689,6865704,0.32487,10500960,0.44741,12413277,0.30325,1473942,0.62154,5337654,0.37018,4042068,0.50518,1654803,0.70494,1062621,0.56476,631761,0.3049,319638,0.87058,3951888,0.70808
4809099,0.5617,4554591,0.5322,14028501,0.47188,11157270,0.40732,6880233,0.32405,10530018,0.44745,12141234,0.29889,1480956,0.62888,5411802,0.37984,4076637,0.51019,1659312,0.69788,852201,0.53426,426351,0.29166,319638,0.86498,3947379,0.71008
4811103,0.56145,4598679,0.53209,14186316,0.45797,11130717,0.40683,6863700,0.32488,10522503,0.44726,12363177,0.30367,1476447,0.62686,5415309,0.42863,4010004,0.50205,1656306,0.69259,1015026,0.56177,534567,0.30346,318135,0.85883,3947379,0.7117
4891764,0.56239,4556094,0.53096,14398740,0.45541,11113683,0.40712,6865704,0.32478,10526010,0.44868,12388728,0.30371,1473942,0.62322,5273025,0.37291,4066617,0.4947,1663821,0.69496,797592,0.51991,528555,0.30524,319137,0.85367,3948882,0.71344
4820121,0.56159,4539060,0.53348,14383209,0.45293,11069595,0.40856,6865203,0.32491,10444848,0.4493,12400251,0.29953,1479453,0.63028,5294067,0.39976,4077639,0.50328,1650795,0.69836,1056108,0.54642,475950,0.299,318636,0.86568,3948882,0.70826
4813107,0.56091,4538058,0.5332,14111166,0.46779,11141739,0.40697,6864201,0.32494,10586130,0.44718,12424299,0.30051,1477950,0.62768,5446872,0.36871,4162809,0.49836,1642278,0.69936,786570,0.54401,574647,0.29757,320640,0.85313,3947379,0.71001
4823628,0.55984,4531044,0.53313,14341125,0.45774,11103162,0.40825,6865704,0.32488,10623204,0.44694,12250452,0.30018,1476447,0.61579,5414808,0.36936,4073130,0.50141,1642278,0.6962,1058613,0.55009,479457,0.30123,321642,0.86827,3946878,0.71161
4863207,0.55922,4533048,0.53358,14154753,0.45767,11063082,0.40817,6865203,0.32496,10452864,0.44904,12291033,0.30102,1445886,0.39094,5495469,0.41246,3996978,0.50087,1642278,0.69306,811119,0.53745,465930,0.29684,319137,0.86611,3947880,0.7132
4849179,0.56127,4537056,0.534,14352147,0.45839,11069595,0.40773,6865704,0.32494,10475409,0.44711,12185322,0.30004,2768526,0.39731,5367714,0.36995,4054593,0.49795,1642278,0.68993,1010016,0.53805,373746,0.2767,319137,0.87228,3947379,0.70872
4807095,0.56168,4573629,0.532,14015475,0.46742,11042541,0.40871,6865203,0.32498,10508976,0.44782,12359169,0.30158,1930854,0.56637,5495469,0.38489,4009503,0.49715,1642278,0.6868,887772,0.52313,373746,0.27745,385770,0.74332,3946377,0.71097
4814109,0.56132,4583148,0.53118,14563569,0.44952,11248953,0.40641,6865203,0.32497,10458375,0.44865,12260973,0.2978,1799592,0.54898,5248977,0.43375,4036557,0.50042,1642278,0.68365,976449,0.5339,373746,0.27821,319137,0.87071,3945375,0.7134
4813608,0.56154,4552587,0.53199,14304552,0.45866,11530515,0.40211,6865704,0.32498,10537533,0.44617,12382215,0.30077,1484463,0.59956,5451882,0.36845,4056096,0.49838,1645284,0.70483,955908,0.44512,373746,0.27896,319137,0.86566,3953892,0.71422
4818618,0.56108,4538058,0.53346,14193831,0.45793,11467389,0.40323,6865203,0.32499,10540038,0.44874,12291033,0.30152,1469433,0.62105,5371221,0.40391,4109202,0.50119,1643280,0.70438,902301,0.53137,375750,0.27822,319137,0.87127,3948381,0.70905
4813107,0.56072,4536555,0.53327,14091627,0.46834,11422299,0.40313,6862698,0.32508,10214388,0.44748,12243438,0.29655,1498992,0.61928,5285049,0.37119,4085154,0.49904,1642278,0.7016,986970,0.4333,375249,0.2679,319137,0.86342,3948381,0.71201
4831644,0.55983,4532046,0.53309,14248941,0.45656,11367189,0.40396,6865203,0.32497,10406271,0.44464,12266985,0.29774,1505004,0.60909,5462904,0.3766,4073631,0.49881,1641777,0.69887,841680,0.52419,374748,0.26243,318135,0.85658,3943872,0.71396
4856193,0.55997,4532547,0.53369,14264472,0.45267,11447349,0.40335,6865203,0.32513,10526511,0.44748,12409269,0.30009,1475946,0.6223,5251983,0.4244,4023531,0.49879,1643280,0.69515,1059114,0.36993,375750,0.25778,319638,0.85132,3939363,0.71017
4846674,0.56142,4538058,0.53354,14277498,0.46272,11361177,0.40462,6880233,0.32425,10562082,0.4475,12333618,0.29879,1480956,0.63042,5453385,0.3686,3959403,0.5002,1646286,0.70122,833163,0.52957,373746,0.25992,318636,0.85973,3933351,0.71208
